0Uplink verified	523545\
<S> actors	169943\
<S> acts	286662\
<S> actual	801581\
<S> actually	981878\
<S> acute	231283\
<S> ad	1359433\
<S> adam	294475\
<S> adapt	108056\
<S> adaptation	166290\
<S> adapted	181688\
<S> adapter	109853\
<S> adaptive	149795\
<S> add	11563271\
<S> added	2542261\
<S> adding	850251\
<S> addition	1783811\
<S> additional	2934834\
<S> additions	128690\
<S> address	2810728\
<S> addressed	657578\
<S> addresses	463535\
<S> addressing	354957\
<S> adds	168990\
<S> adelaide	105671\
<S> adequate	643401\
<S> adequately	227048\
<S> adidas	1637108\
<S> adipex	498204\
<S> adj	188639\
<S> adjacent	356437\
<S> adjust	203531\
<S> adjustable	185493\
<S> adjusted	357332\
<S> adjustment	441932\
<S> adjustments	292370\
<S> adland	102183\
<S> admin	1637136\
<S> administer	143052\
<S> administered	329331\
<S> administering	116652\
<S> administration	1123653\
<S> administrative	1137463\
<S> administrator	349322\
<S> administrators	268932\
<S> admission	366432\
<S> admissions	201650\
<S> admitted	204618\
<S> adobe	145226\
<S> adolescents	117637\
<S> adopt	337371\
<S> adopted	738649\
<S> adopting	126087\
<S> adoption	526701\
<S> adrian	158482\
<S> ads	254556\
<S> adsl	144719\
<S> adult	1723069\
<S> adults	494434\
<S> advance	605769\
<S> advanced	4619263\
<S> advancement	104902\
<S> advances	167595\
<S> advantage	605383\
<S> advantages	304482\
<S> adventure	221061\
<S> adverse	383194\
<S> adversely	129780\
<S> advertise	1176197\
<S> advertisement	5857304\
<S> advertisements	235820\
<S> advertising	1150684\
<S> advertisment	220848\
<S> advice	722543\
<S> advise	180647\
<S> advised	178266\
<S> advising	124635\
<S> advisor	128130\
<S> advisory	214885\
<S> advocacy	216108\
<S> advocate	113229\
<S> advocates	103152\
<S> ae	1142873\
<S> aerial	118131\
<S> aerospace	231238\
<S> af	214897\
<S> aff	466050\
<S> affairs	146225\
<S> affect	596268\
<S> affected	792531\
<S> affecting	259583\
<S> affects	189251\
<S> affiliate	377379\
<S> affiliated	126624\
<S> affiliates	266171\
<S> afford	115556\
<S> affordable	461633\
<S> affx	240606\
<S> africa	266205\
<S> african	213758\
<S> after	5000312\
<S> afternoon	207956\
<S> ag	252654\
<S> again	1157069\
<S> against	2118060\
<S> age	2529960\
<S> aged	448756\
<S> agement	341624\
<S> agencies	1357618\
<S> agency	1159636\
<S> agenda	378504\
<S> agent	663593\
<S> agents	531849\
<S> ages	399549\
<S> aggregate	339854\
<S> aggressive	151121\
<S> aging	181837\
<S> ago	372270\
<S> agree	1351891\
<S> agreed	766214\
<S> agreement	1529226\
<S> agreements	641995\
<S> agrees	135392\
<S> agricultural	714130\
<S> agriculture	661241\
<S> ah	460512\
<S> ahead	220659\
<S> ahh	121062\
<S> ai	321119\
<S> aid	367622\
<S> aids	110300\
<S> aim	299160\
<S> aimed	194904\
<S> aims	189511\
<S> air	1964999\
<S> aircraft	421879\
<S> airfares	115575\
<S> airline	291271\
<S> airplane	112886\
<S> airport	402149\
<S> airports	124501\
<S> aj	118492\
<S> ak	116797\
<S> aka	638762\
<S> al	3538049\
<S> alabama	120867\
<S> alan	202116\
<S> alarm	226513\
<S> alaska	174012\
<S> album	469243\
<S> albums	769486\
<S> alcohol	541645\
<S> alert	214314\
<S> alex	304327\
<S> algebra	145999\
<S> algorithm	594888\
<S> algorithms	293824\
<S> ali	101243\
<S> alias	159703\
<S> alien	157032\
<S> align	208772\
<S> aligned	103578\
<S> alignment	211449\
<S> all	18276241\
<S> alle	100843\
<S> alleged	153476\
<S> allocate	117145\
<S> allocated	309071\
<S> allocation	438256\
<S> allocations	119177\
<S> allow	1212823\
<S> allowable	118764\
<S> allowance	190587\
<S> allowances	122412\
<S> allowed	815056\
<S> allowing	497999\
<S> allows	925872\
<S> ally	533970\
<S> almost	918672\
<S> alone	455098\
<S> along	1336752\
<S> alpha	642985\
<S> alphabetical	130783\
<S> alprazolam	140520\
<S> already	1279457\
<S> als	311228\
<S> also	9210160\
<S> alt	545732\
<S> alter	162944\
<S> altered	140424\
<S> alternate	593292\
<S> alternative	1405657\
<S> alternatively	109097\
<S> alternatives	392150\
<S> although	1456760\
<S> altitude	105821\
<S> aluminium	118595\
<S> aluminum	253724\
<S> alumni	236980\
<S> always	1368983\
<S> am	1596465\
<S> amanda	146535\
<S> amateur	1252215\
<S> amazing	273854\
<S> amazon	200366\
<S> amber	122804\
<S> ambien	495544\
<S> ambient	190084\
<S> amd	228132\
<S> amend	178546\
<S> amended	871828\
<S> amending	245532\
<S> amendment	411515\
<S> amendments	362347\
<S> america	145391\
<S> american	852227\
<S> amino	149312\
<S> among	1891706\
<S> amongst	173752\
<S> amortization	116446\
<S> amount	2328470\
<S> amounts	666285\
<S> amp	2792225\
<S> ample	219217\
<S> amplitude	194843\
<S> amsterdam	232240\
<S> amy	151080\
<S> amz	109321\
<S> an	15282924\
<S> ana	120916\
<S> anal	751355\
<S> analog	206930\
<S> analyse	156586\
<S> analysed	101292\
<S> analyses	396036\
<S> analysis	2642717\
<S> analytical	251967\
<S> analyze	282660\
<S> analyzed	245259\
<S> analyzing	142722\
<S> ance	741388\
<S> anchor	808429\
<S> ancient	220611\
<S> and	261891475\
<S> andale	106945\
<S> andrew	214117\
<S> andy	223765\
<S> angel	309214\
<S> angle	364879\
<S> angles	112669\
<S> angry	103525\
<S> angular	104066\
<S> animal	992799\
<S> animals	696382\
<S> animated	200317\
<S> animation	204869\
<S> anime	541991\
<S> ann	118229\
<S> anna	153228\
<S> anne	115559\
<S> anniversary	242626\
<S> announce	125788\
<S> announced	383874\
<S> announcement	201231\
<S> announcements	309818\
<S> annual	1516957\
<S> annually	371472\
<S> anon	148821\
<S> anonymous	599924\
<S> another	3095159\
<S> ans	132043\
<S> answer	783125\
<S> answered	189549\
<S> answering	146791\
<S> answers	336975\
<S> ant	316150\
<S> antenna	153725\
<S> anthony	117521\
<S> anti	1022749\
<S> antibody	112880\
<S> anticipated	322141\
<S> antique	568593\
<S> antiques	111757\
<S> anxiety	201544\
<S> any	8663704\
<S> anybody	166342\
<S> anyone	971696\
<S> anything	676780\
<S> anyway	588351\
<S> anyways	197606\
<S> anywhere	201765\
<S> aol	131132\
<S> ap	281804\
<S> apache	218354\
<S> apart	183335\
<S> apartment	383143\
<S> apartments	246782\
<S> apotheon	117438\
<S> app	214221\
<S> apparatus	140492\
<S> apparel	473451\
<S> apparent	258627\
<S> apparently	298525\
<S> appeal	411481\
<S> appeals	134287\
<S> appear	701660\
<S> appearance	303642\
<S> appeared	286526\
<S> appearing	115934\
<S> appears	756669\
<S> append	157534\
<S> appendix	143220\
<S> appetizer	135337\
<S> apple	600451\
<S> appliance	110924\
<S> appliances	210802\
<S> applicability	106086\
<S> applicable	1196123\
<S> applicant	594392\
<S> applicants	316288\
<S> application	5647400\
<S> applications	2124179\
<S> applied	1117292\
<S> applies	403055\
<S> apply	1671834\
<S> applying	414765\
<S> appoint	107988\
<S> appointed	492178\
<S> appointment	478409\
<S> appointments	188287\
<S> appraisal	138082\
<S> appreciate	185951\
<S> appreciated	106169\
<S> appreciation	197497\
<S> approach	2039535\
<S> approaches	742662\
<S> approaching	106402\
<S> appropriate	3354096\
<S> appropriately	254718\
<S> appropriation	151402\
<S> appropriations	121217\
<S> approval	1045759\
<S> approve	250140\
<S> approved	1588593\
<S> approx	336463\
<S> approximate	198804\
<S> approximately	1621433\
<S> approximation	213765\
<S> apr	130307\
<S> april	186822\
<S> apt	163086\
<S> aquatic	160276\
<S> ar	808984\
<S> arbitrary	185639\
<S> arbitration	133428\
<S> arc	154301\
<S> arch	156950\
<S> architect	131280\
<S> architectural	201330\
<S> architecture	654715\
<S> archive	1415231\
<S> archives	1495912\
<S> are	26543233\
<S> area	2970691\
<S> areas	2523938\
<S> arg	191451\
<S> argue	130488\
<S> argued	159775\
<S> argument	428723\
<S> arguments	302581\
<S> arise	182310\
<S> arising	234425\
<S> arizona	330668\
<S> arm	260236\
<S> armed	130687\
<S> arms	190976\
<S> army	165109\
<S> around	1763815\
<S> arr	145838\
<S> arrange	176624\
<S> arranged	188424\
<S> arrangement	333710\
<S> arrangements	807532\
<S> array	506715\
<S> arrival	231088\
<S> arrive	125019\
<S> arrived	152689\
<S> arrow	1011022\
<S> art	2044759\
<S> arthritis	133223\
<S> article	1041344\
<S> articles	1158290\
<S> artificial	227052\
<S> artist	1367115\
<S> artistas	152168\
<S> artistic	122464\
<S> artists	670298\
<S> artnet	122583\
<S> arts	801185\
<S> artwork	112487\
<S> ary	277258\
<S> as	26175031\
<S> asbestos	276261\
<S> ash	137634\
<S> ashley	107070\
<S> asia	208759\
<S> asian	1066470\
<S> aside	127825\
<S> ask	1084078\
<S> asked	1412866\
<S> asking	223295\
<S> asks	229583\
<S> asp	515009\
<S> aspect	263217\
<S> aspects	659340\
<S> aspx	122219\
<S> ass	574085\
<S> assault	109645\
<S> assembly	341227\
<S> assert	285244\
<S> assess	441192\
<S> assessed	374295\
<S> assessing	259622\
<S> assessment	2031779\
<S> assessments	464549\
<S> asset	352944\
<S> assets	753932\
<S> assign	236132\
<S> assigned	753794\
<S> assignment	408874\
<S> assignments	294561\
<S> assist	635073\
<S> assistance	1373765\
<S> assistant	365829\
<S> assisted	195266\
<S> assisting	185431\
<S> assists	126113\
<S> associate	254430\
<S> associated	2079881\
<S> associates	105737\
<S> association	628120\
<S> associations	352714\
<S> assume	514280\
<S> assumed	435390\
<S> assumes	160265\
<S> assuming	270781\
<S> assumption	351330\
<S> assumptions	391610\
<S> assurance	269871\
<S> assure	140661\
<S> asterixx	102604\
<S> asthma	158156\
<S> astronomy	175084\
<S> at	37899769\
<S> ate	620734\
<S> ated	485796\
<S> ately	102517\
<S> ates	127019\
<S> athletic	117473\
<S> ati	112673\
<S> ating	156546\
<S> ation	638398\
<S> ations	197386\
<S> ativan	120854\
<S> ative	138657\
<S> atlanta	232317\
<S> atlas	334307\
<S> atm	167667\
<S> atmosphere	343077\
<S> atmospheric	183108\
<S> atom	224082\
<S> atomic	223263\
<S> atoms	147662\
<S> att	145427\
<S> attach	169703\
<S> attached	709455\
<S> attachment	198764\
<S> attachments	148732\
<S> attack	292832\
<S> attacks	193999\
<S> attainment	169949\
<S> attempt	400026\
<S> attempted	169046\
<S> attempting	144908\
<S> attempts	242064\
<S> attend	433262\
<S> attendance	369861\
<S> attended	343462\
<S> attending	271095\
<S> attention	834965\
<S> attitude	178473\
<S> attitudes	221538\
<S> attorney	419631\
<S> attorneys	140991\
<S> attr	281367\
<S> attract	150070\
<S> attractions	185449\
<S> attractive	244713\
<S> attributable	163831\
<S> attribute	410540\
<S> attributed	168638\
<S> attributes	390423\
<S> au	499854\
<S> auction	952758\
<S> auctions	120567\
<S> audience	304659\
<S> audio	1232048\
<S> audit	411353\
<S> aug	119990\
<S> august	148444\
<S> austin	186083\
<S> australia	216942\
<S> australian	226860\
<S> authentic	114235\
<S> authentication	299714\
<S> author	2459442\
<S> authorised	149734\
<S> authorities	729777\
<S> authority	1160845\
<S> authorization	326350\
<S> authorize	214534\
<S> authorized	685594\
<S> authorizing	185601\
<S> authors	612109\
<S> auto	1338906\
<S> automated	247200\
<S> automatic	571447\
<S> automatically	713871\
<S> automation	124522\
<S> automobile	211135\
<S> automotive	489745\
<S> autonomous	106164\
<S> autumn	143415\
<S> aux	109960\
<S> auxiliary	107589\
<S> av	233625\
<S> availability	910086\
<S> available	6001162\
<S> ave	149792\
<S> average	2601577\
<S> averaged	140930\
<S> avg	275977\
<S> avi	461708\
<S> aviation	147770\
<S> avoid	578882\
<S> avoided	126392\
<S> avoiding	136573\
<S> aw	166719\
<S> award	597104\
<S> awarded	367931\
<S> awards	1028123\
<S> aware	372631\
<S> awareness	599944\
<S> away	815392\
<S> awesome	341141\
<S> awful	380330\
<S> aww	118378\
<S> ax	176955\
<S> axis	277957\
<S> ay	218668\
<S> aye	5161288\
<S> az	279086\
<S> b	26825078\
<S> ba	258284\
<S> babe	130079\
<S> babies	138852\
<S> baby	1249017\
<S> bachelor	127249\
<S> back	15354775\
<S> backgammon	118485\
<S> background	1954745\
<S> backgrounds	170218\
<S> backpacking	457892\
<S> backup	327004\
<S> backward	100250\
<S> bacteria	215789\
<S> bacterial	111471\
<S> bad	1671648\
<S> bag	223074\
<S> bags	146299\
<S> baking	138509\
<S> balance	826936\
<S> balanced	206939\
<S> balances	119493\
<S> balancing	110976\
<S> ball	301148\
<S> baltimore	120100\
<S> ban	112636\
<S> band	581094\
<S> bands	240729\
<S> bandwidth	329139\
<S> bang	138700\
<S> bank	805331\
<S> banking	708050\
<S> bankruptcy	278874\
<S> banks	421607\
<S> banner	530340\
<S> bar	632272\
<S> barb	329301\
<S> barbeque	104881\
<S> barcelona	137428\
<S> bare	125897\
<S> bargain	184003\
<S> bargaining	186162\
<S> barrier	170720\
<S> barriers	270996\
<S> bars	200390\
<S> base	1192890\
<S> baseball	353164\
<S> based	4338446\
<S> baseline	285677\
<S> bases	154543\
<S> bash	170859\
<S> basic	1168577\
<S> basically	211070\
<S> basin	132812\
<S> basis	1455349\
<S> basket	430681\
<S> basketball	295025\
<S> bass	242527\
<S> bat	164467\
<S> batch	150307\
<S> bath	257193\
<S> bathroom	284553\
<S> batteries	149729\
<S> battery	370832\
<S> battle	148586\
<S> bay	169310\
<S> bb	294483\
<S> bbc	146550\
<S> bbw	218842\
<S> bc	429771\
<S> bd	204974\
<S> bdsm	220113\
<S> be	36179375\
<S> beach	542785\
<S> beam	366232\
<S> bear	266631\
<S> bearing	211431\
<S> beat	295095\
<S> beautiful	671877\
<S> beauty	463304\
<S> became	553702\
<S> because	5347640\
<S> become	1870479\
<S> becomes	752797\
<S> becoming	409032\
<S> bed	520401\
<S> bedroom	252239\
<S> bedrooms	112747\
<S> beds	205646\
<S> beef	227447\
<S> been	7046152\
<S> beer	344531\
<S> before	3688283\
<S> began	448723\
<S> begin	1108248\
<S> beginning	998706\
<S> begins	283211\
<S> begun	119962\
<S> behalf	334813\
<S> behavior	830600\
<S> behavioral	184420\
<S> behaviors	173561\
<S> behaviour	520281\
<S> behind	503039\
<S> being	3701295\
<S> belief	172763\
<S> beliefs	148314\
<S> believe	724152\
<S> believed	226026\
<S> believes	260675\
<S> bell	112723\
<S> belong	137210\
<S> belonging	123730\
<S> belongs	203797\
<S> below	1974177\
<S> belt	109073\
<S> ben	260032\
<S> bench	100263\
<S> benchmark	176679\
<S> benchmarks	107051\
<S> beneficial	235919\
<S> beneficiaries	193194\
<S> beneficiary	143902\
<S> benefit	1099817\
<S> benefits	1647781\
<S> bentyxxo	326528\
<S> ber	840193\
<S> berlin	202911\
<S> bers	430175\
<S> besides	247820\
<S> best	5218929\
<S> bet	245438\
<S> beta	417540\
<S> better	1779503\
<S> betting	347722\
<S> between	7697602\
<S> beyond	763032\
<S> bf	121321\
<S> bg	201047\
<S> bggsupporter	222256\
<S> bi	328252\
<S> bias	226392\
<S> bible	132139\
<S> bibliography	114339\
<S> bicycle	145512\
<S> bid	248972\
<S> bidorbuy	164542\
<S> big	2267528\
<S> bigger	165079\
<S> biggest	176723\
<S> bike	385171\
<S> bikini	138767\
<S> bilateral	111477\
<S> bility	369595\
<S> bill	538248\
<S> billing	159459\
<S> billion	500688\
<S> bills	128755\
<S> billy	100921\
<S> bin	303433\
<S> binary	257092\
<S> bind	182948\
<S> binding	501957\
<S> bingo	225852\
<S> bio	634245\
<S> biodiversity	230085\
<S> biography	609568\
<S> biological	474784\
<S> biology	216988\
<S> biomass	143148\
<S> biotechnology	493907\
<S> bird	309709\
<S> birds	291106\
<S> birt	159624\
<S> birth	505246\
<S> birthday	404166\
<S> bis	107200\
<S> bisexual	144574\
<S> bit	599471\
<S> bitch	110237\
<S> bits	247796\
<S> bittorrent	122451\
<S> biz	2037590\
<S> bizarre	136536\
<S> bizwomen	883782\
<S> bk	117417\
<S> bl	151989\
<S> black	3150270\
<S> blackjack	842558\
<S> blah	339179\
<S> blank	430956\
<S> ble	601196\
<S> bleeding	104740\
<S> blind	165466\
<S> blink	134502\
<S> block	638600\
<S> blocked	105205\
<S> blocking	108873\
<S> blocks	307230\
<S> blog	1600239\
<S> blogger	102754\
<S> bloggers	177280\
<S> blogging	166316\
<S> blogroll	101789\
<S> blogs	694213\
<S> blonde	428886\
<S> blood	879914\
<S> blow	193598\
<S> blowout	499936\
<S> blue	1300399\
<S> blues	118702\
<S> bluetooth	103529\
<S> bm	152502\
<S> bmp	135117\
<S> bmw	151059\
<S> bn	108726\
<S> bo	152608\
<S> board	1646717\
<S> boards	292913\
<S> boat	359109\
<S> boats	146852\
<S> bob	340832\
<S> bodies	381377\
<S> body	1735907\
<S> bold	142124\
<S> bon	102557\
<S> bond	318288\
<S> bondage	2490196\
<S> bonds	271458\
<S> bone	257807\
<S> bontril	116418\
<S> bonus	255599\
<S> boob	118697\
<S> book	3186325\
<S> booking	235243\
<S> bookmark	617174\
<S> books	1969528\
<S> bookshot	616987\
<S> bool	1239432\
<S> boolean	912143\
<S> boom	117974\
<S> boost	141493\
<S> boot	368287\
<S> border	1078141\
<S> borders	103376\
<S> bored	122042\
<S> born	1265554\
<S> borrowing	106792\
<S> boston	262917\
<S> bot	129775\
<S> both	3957642\
<S> bottle	250862\
<S> bottles	102934\
<S> bottom	690362\
<S> bought	158151\
<S> bound	393182\
<S> boundaries	386921\
<S> boundary	772490\
<S> bounded	141495\
<S> box	1267415\
<S> boxes	188924\
<S> boy	376521\
<S> boys	358397\
<S> bp	178405\
<S> br	949970\
<S> brad	128066\
<S> brain	460480\
<S> branch	445449\
<S> branches	451835\
<S> brand	595668\
<S> brands	117046\
<S> brass	117523\
<S> breach	128307\
<S> bread	220580\
<S> break	3651591\
<S> breakdown	145963\
<S> breakfast	297393\
<S> breaking	300933\
<S> breaks	148728\
<S> breast	556544\
<S> breathing	122946\
<S> breeding	194074\
<S> brian	242500\
<S> brick	120948\
<S> bridal	144332\
<S> bridge	470137\
<S> bridges	125782\
<S> brief	395278\
<S> briefly	110859\
<S> bright	209879\
<S> brilliant	105480\
<S> bring	755355\
<S> bringing	260710\
<S> brings	179978\
<S> brisbane	112965\
<S> british	163195\
<S> britney	178907\
<S> broad	416123\
<S> broadband	506119\
<S> broadcast	275096\
<S> broadcasting	156902\
<S> broader	212169\
<S> broadly	100617\
<S> broadway	110463\
<S> brochure	159059\
<S> brochures	100332\
<S> broken	337590\
<S> broker	159933\
<S> bronze	121496\
<S> brother	383817\
<S> brothers	174080\
<S> brought	830851\
<S> brown	424362\
<S> browse	5049380\
<S> browser	273706\
<S> bruce	101927\
<S> brunch	113730\
<S> brutal	113882\
<S> bs	142908\
<S> bt	148753\
<S> btw	343848\
<S> bu	135673\
<S> bubble	131933\
<S> buddies	393055\
<S> budget	1349380\
<S> budgets	159446\
<S> buf	138203\
<S> buffalo	112650\
<S> buffer	383606\
<S> bug	648812\
<S> bugs	167311\
<S> bugzilla	141182\
<S> build	913366\
<S> builder	275133\
<S> building	2227537\
<S> buildings	664258\
<S> built	643143\
<S> bulk	306495\
<S> bullet	821197\
<S> bulletin	130762\
<S> bump	166814\
<S> burden	244647\
<S> buried	133836\
<S> burn	164590\
<S> burning	249106\
<S> bus	436981\
<S> bush	265203\
<S> business	7113593\
<S> businesses	932532\
<S> busty	317119\
<S> busy	173952\
<S> but	24637665\
<S> bution	200263\
<S> butt	159707\
<S> butter	142737\
<S> butterfly	146035\
<S> button	1198149\
<S> buttons	185898\
<S> buy	9887581\
<S> buyer	197346\
<S> buyers	117705\
<S> buying	3959941\
<S> buzznet	242791\
<S> bw	120856\
<S> by	85137384\
<S> bye	289525\
<S> byte	524349\
<S> bytes	143855\
<S> bz	148990\
<S> c	30170060\
<S> ca	1294198\
<S> cabinet	136555\
<S> cable	667709\
<S> cables	169914\
<S> cache	282219\
<S> cadastre	144047\
<S> cafe	103771\
<S> cake	354531\
<S> cal	1232670\
<S> calcium	201016\
<S> calculate	386109\
<S> calculated	797211\
<S> calculating	162783\
<S> calculation	364205\
<S> calculations	339926\
<S> calculator	124652\
<S> calendar	1516291\
<S> calendars	113545\
<S> calibration	235422\
<S> california	692530\
<S> call	2526717\
<S> called	1375035\
<S> calling	406325\
<S> calls	442919\
<S> cally	503027\
<S> calm	110509\
<S> cam	269984\
<S> came	604062\
<S> camera	695449\
<S> cameras	196209\
<S> camp	193440\
<S> campaign	493104\
<S> campaigns	215639\
<S> camping	501492\
<S> campus	623704\
<S> can	13793425\
<S> canada	520213\
<S> canadian	591648\
<S> canal	102615\
<S> cancel	210159\
<S> cancellation	162005\
<S> cancelled	114334\
<S> cancer	768196\
<S> candidate	461425\
<S> candidates	468547\
<S> candy	196569\
<S> canon	267365\
<S> cant	452639\
<S> cantly	135288\
<S> cap	216973\
<S> capabilities	512626\
<S> capability	378815\
<S> capable	358918\
<S> capacities	119768\
<S> capacity	1486903\
<S> capita	113268\
<S> capital	1365052\
<S> captain	118393\
<S> capture	308592\
<S> captured	165977\
<S> car	3617629\
<S> carbon	459606\
<S> card	850475\
<S> cardiac	115512\
<S> cardiovascular	127758\
<S> cards	337805\
<S> care	2043716\
<S> career	759616\
<S> careers	465484\
<S> careful	179055\
<S> carefully	309846\
<S> cargo	128110\
<S> caribbean	152040\
<S> caring	119828\
<S> carisoprodol	119271\
<S> carpet	128465\
<S> carried	670767\
<S> carrier	271542\
<S> carriers	148591\
<S> carries	108843\
<S> carry	459342\
<S> carrying	333242\
<S> cars	638940\
<S> cart	672948\
<S> cartoon	284428\
<S> cartoons	160505\
<S> case	5861224\
<S> cases	1565678\
<S> cash	993514\
